record_id,paper_id,sample_label,data_origin,matrix_class,matrix_name,particle_type,particle_grade,particle_true_density_g_cc,particle_mean_diameter_um,particle_wall_thickness_ratio,particle_volume_fraction,particle_weight_fraction,process_route,cure_or_process_temperature_c,additional_fillers,measured_density_g_cc,theoretical_density_g_cc,matrix_porosity_fraction,particle_breakage_fraction,test_type,strain_rate_per_s,temperature_c,standard,modulus_mpa,strength_mpa,strain_at_failure,energy_absorption_mj_m3,plateau_stress_mpa,densification_strain,specific_modulus_mpa_per_g_cc,specific_strength_mpa_per_g_cc,storage_modulus_mpa,loss_tangent,thermal_conductivity_w_mk,cte_per_k,moisture_uptake_pct,extractor_confidence,flags
W3103969871-000,W3103969871,"A356/SiC (Gupta [8], quasi-static)",primary,aluminum,A356,ceramic_hollow,SiC hollow spheres,,1000.0,,,,other,,,1.81,,,,compression,,,ISO 13314,,181.0,,,126.0,0.45,,100.0,,,,,,0.75,
W3103969871-001,W3103969871,"A356/SiC (Gupta [8], dynamic)",primary,aluminum,A356,ceramic_hollow,SiC hollow spheres,,1000.0,,,,other,,,1.81,,,,compression,,,ISO 13314,,130.0,,,,,,71.8232044198895,,,,,,0.7,
W3103969871-002,W3103969871,"Al 6082/SiO2-Al2O3 (Zhao [10], quasi-static)",primary,aluminum,Al 6082,ceramic_hollow,"Ceramic (SiO2-Al2O3) microspheres, 75-125 µm",,,,,,pressure_infiltration,,,,,,,compression,,,ISO 13314,,53.3,,,63.7,0.43,,,,,,,,0.7,
W3103969871-003,W3103969871,"A356/Al2O3 (Gupta [12], quasi-static)",primary,aluminum,A356,ceramic_hollow,"Alumina hollow particles, 3 mm",,3000.0,,,,other,,,,,,,compression,,,ISO 13314,,106.5,,,62.8,0.6,,,,,,,,0.75,
W3103969871-004,W3103969871,"A356/Al2O3 (Gupta [12], dynamic)",primary,aluminum,A356,ceramic_hollow,"Alumina hollow particles, 3 mm",,3000.0,,,,other,,,,,,,compression,,,ISO 13314,,164.0,,,,,,,,,,,,0.7,
W3103969871-005,W3103969871,"A356/Pumice (Taherishargh [5], quasi-static)",primary,aluminum,A356,other,"Pumice (porous volcanic rock), 2.8-4 mm",,,,,,pressure_infiltration,720.0,,,,,,compression,,,ISO 13314,,47.0,,,65.0,0.45,,,,,,,,0.7,
W3103969871-006,W3103969871,"Al99,5/Globocer (Orbulov [57], quasi-static)",primary,aluminum,"Al99,5 (commercially pure Al)",ceramic_hollow,Globocer ceramic hollow spheres,,,,,,pressure_infiltration,,,,,,,compression,,,ISO 13314,,50.0,,,51.0,,,,,,,,,0.7,
W3103969871-007,W3103969871,"AlSi12/Globocer (Orbulov [57], quasi-static)",primary,aluminum,AlSi12,ceramic_hollow,Globocer ceramic hollow spheres,,,,,,pressure_infiltration,,,,,,,compression,,,ISO 13314,,114.0,,,57.0,,,,,,,,,0.7,
W3103969871-008,W3103969871,"Al 6061/Cenosphere (Wu [58], quasi-static)",primary,aluminum,Al 6061,fly_ash_cenosphere,,,,,,,other,,,,,,,compression,,,ISO 13314,,45.0,,,40.5,0.5,,,,,,,,0.7,
W3103969871-009,W3103969871,"Al 6061/Cenosphere (Wu [58], dynamic)",primary,aluminum,Al 6061,fly_ash_cenosphere,,,,,,,other,,,,,,,compression,,,ISO 13314,,55.0,,,,,,,,,,,,0.7,
W3103969871-010,W3103969871,"A380/Al2O3 (Schultz [59], dynamic)",primary,aluminum,Al-A380,ceramic_hollow,Al2O3 hollow spheres,,,,,,other,,,,,,,compression,,,ISO 13314,,120.0,,,,,,,,,,,,0.7,
W3103969871-011,W3103969871,"A356/Expanded perlite (Taherishargh [19], quasi-static)",primary,aluminum,A356,other,"Expanded perlite, 3-4 mm",,,,,,pressure_infiltration,720.0,,,,,,compression,,,ISO 13314,,37.2,,,44.7,0.59,,,,,,,,0.7,
W3103969871-012,W3103969871,"cp-Al/SiO2-Al2O3 (Zhao [17], quasi-static)",primary,aluminum,cp-Al (pure aluminium),ceramic_hollow,"Glass/ceramic spheres, 0.5-4 mm",,,,,,pressure_infiltration,,,,,,,compression,,,ISO 13314,,,,,41.7,0.3,,,,,,,,0.7,
W3103969871-013,W3103969871,"AlSi9Cu3/Glass bubble (Weise [18], quasi-static)",primary,aluminum,AlSi9Cu3,glass_microballoon,S60HS hollow glass microspheres,,,,,,pressure_infiltration,730.0,,,,,,compression,,,ISO 13314,,190.0,,,180.0,0.45,,,,,,,,0.65,
W3103969871-014,W3103969871,"cp-Al/Cenosphere (Zhang [38], quasi-static)",primary,aluminum,Pure Al,fly_ash_cenosphere,"Cenospheres, 80-160 µm",,,,,,other,,,,,,,compression,,,ISO 13314,,64.7,,,60.8,0.37,,,,,,,,0.7,
W3103969871-015,W3103969871,"cp-Al/Cenosphere (Zhang [38], dynamic)",primary,aluminum,Pure Al,fly_ash_cenosphere,"Cenospheres, 80-160 µm",,,,,,other,,,,,,,compression,,,ISO 13314,,106.5,,,,,,,,,,,,0.7,
W3103969871-016,W3103969871,"ZL111/Al2O3 (Hao [60], quasi-static)",primary,aluminum,ZL111,ceramic_hollow,Al2O3 hollow spheres,,,,,,stir_casting,,,,,,,compression,,,ISO 13314,,61.8,,,56.4,0.44,,,,,,,,0.65,
